TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2021,2,13,18,0,37XX W 10TH AVE,West Point Grey,486401.2701,5456770.8614
Break and Enter Commercial,2021,1,22,2,33,37XX W 10TH AVE,West Point Grey,486434.7209,5456769.3966
Break and Enter Commercial,2021,12,4,5,0,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Commercial,2021,2,14,0,0,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Break and Enter Commercial,2021,2,15,5,29,39XX POINT GREY RD,West Point Grey,486117.3859,5457634.1124
Break and Enter Commercial,2021,5,9,1,50,42XX W 8TH AVE,West Point Grey,485460.4011,5456976.3029
Break and Enter Commercial,2021,4,27,5,56,44XX W 10TH AVE,West Point Grey,484961.2524,5456806.9794
Break and Enter Commercial,2021,2,28,5,0,45XX W 10TH AVE,West Point Grey,484715.6856,5456804.0831
Break and Enter Commercial,2021,7,11,15,30,45XX W 8TH AVE,West Point Grey,484586.6174,5457010.1144
Break and Enter Commercial,2021,4,12,2,0,46XX W 10TH AVE,West Point Grey,484519.1794,5456809.1678
Break and Enter Commercial,2021,5,12,2,0,46XX W 10TH AVE,West Point Grey,484519.1794,5456809.1678
Break and Enter Residential/Other,2021,4,23,0,0,19XX DRUMMOND DR,West Point Grey,484013.2872,5457421.7976
Break and Enter Residential/Other,2021,4,20,3,0,21XX ALMA ST,West Point Grey,486483.1983,5457216.5669
Break and Enter Residential/Other,2021,6,3,4,0,25XX WALLACE CRES,West Point Grey,485964.0578,5456888.1851
Break and Enter Residential/Other,2021,6,11,10,11,25XX WALLACE CRES,West Point Grey,485964.0578,5456888.1851
Break and Enter Residential/Other,2021,10,10,22,0,28XX ALMA ST,West Point Grey,486469.8583,5456531.3474
Break and Enter Residential/Other,2021,5,5,0,0,37XX W 12TH AVE,West Point Grey,486420.3034,5456567.6833
Break and Enter Residential/Other,2021,4,29,0,0,38XX W 10TH AVE,West Point Grey,486147.28,5456778.5358
Break and Enter Residential/Other,2021,11,24,16,45,38XX W 10TH AVE,West Point Grey,486147.28,5456778.5358
Break and Enter Residential/Other,2021,7,17,3,20,38XX W 10TH AVE,West Point Grey,486290.6554,5456765.736
Break and Enter Residential/Other,2021,6,27,0,0,38XX W 11TH AVE,West Point Grey,486313.5212,5456668.002
Break and Enter Residential/Other,2021,6,8,4,27,38XX W 14TH AVE,West Point Grey,486292.6819,5456358.8167
Break and Enter Residential/Other,2021,8,20,0,0,38XX W 14TH AVE,West Point Grey,486309.7289,5456358.3644
Break and Enter Residential/Other,2021,6,18,16,0,38XX W 3RD AVE,West Point Grey,486300.4748,5457434.9215
Break and Enter Residential/Other,2021,2,22,14,0,38XX W 8TH AVE,West Point Grey,486319.9205,5456957.4155
Break and Enter Residential/Other,2021,2,22,14,1,38XX W 8TH AVE,West Point Grey,486319.9205,5456957.4155
Break and Enter Residential/Other,2021,3,9,11,17,38XX W 8TH AVE,West Point Grey,486319.9205,5456957.4155
Break and Enter Residential/Other,2021,1,24,22,30,38XX W BROADWAY AVE,West Point Grey,486228.5043,5456870.8073
